Table S2. Movement Data for GPS-Instrumented Stones on Racetrack Playa,,,,,,,,,,,,,,,,
Death Valley National Park,,,,,,,,,,,,,,,,
Stone Name: EOS; Location Designation: A3;  Mass: 16.6 Kg,,,,,,Stone Name: MAIA; Location Designation: A6;  Mass: 8.2 Kg,,,,,,Stone Name: FREYA; Location Designation: A11;  Mass: 15.4 Kg,,,,
"""Date""","""Time(UTC)""","""Lat(deg)""","""Long(deg)""","""Velocity(m/min)""",,"""Date"""," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min),,Date," ""Time (UTC)"""," ""Lat (deg)"""," ""Long (deg)""",Velocity (m/min)
12/4/13,19:06:32,36.673438,-117.5529801,5.245374,,12/4/13,19:06:26,36.6741642,-117.5545221,2.217939,,12/20/2013,19:38:37,36.6758369,-117.5554428,3.154648
12/4/13,19:06:33,36.6734385,-117.5529798,5.371945,,12/4/13,19:06:27,36.6741647,-117.5545217,2.304768,,12/20/2013,19:38:38,36.6758373,-117.5554426,3.209274
12/4/13,19:06:34,36.6734392,-117.5529794,5.548788,,12/4/13,19:06:28,36.6741652,-117.5545213,2.012016,,12/20/2013,19:38:39,36.6758376,-117.5554424,2.342094
12/4/13,19:06:35,36.6734398,-117.5529792,5.47078,,12/4/13,19:06:29,36.6741657,-117.554521,2.004006,,12/20/2013,19:38:40,36.675838,-117.5554422,2.611789
12/4/13,19:06:36,36.6734405,-117.5529789,5.4404,,12/4/13,19:06:30,36.6741662,-117.5545206,2.143058,,12/20/2013,19:38:41,36.6758383,-117.555442,2.433584
12/4/13,19:06:37,36.6734411,-117.5529786,5.455299,,12/4/13,19:06:31,36.6741668,-117.5545202,2.328768,,12/20/2013,19:38:42,36.6758387,-117.5554418,2.407016
12/4/13,19:06:38,36.6734418,-117.5529784,5.398963,,12/4/13,19:06:32,36.6741673,-117.5545198,2.50532,,12/20/2013,19:38:43,36.675839,-117.5554416,2.43651
12/4/13,19:06:39,36.6734424,-117.5529781,5.31233,,12/4/13,19:06:33,36.6741678,-117.5545194,2.694578,,12/20/2013,19:38:44,36.6758394,-117.5554414,2.442914
12/4/13,19:06:40,36.673443,-117.5529778,5.229999,,12/4/13,19:06:34,36.6741684,-117.554519,2.850156,,12/20/2013,19:38:45,36.6758397,-117.5554413,2.476649
12/4/13,19:06:41,36.6734437,-117.5529775,5.152742,,12/4/13,19:06:35,36.6741689,-117.5545187,2.991458,,12/20/2013,19:38:46,36.6758401,-117.555441,2.528284
12/4/13,19:06:42,36.6734444,-117.5529772,5.080961,,12/4/13,19:06:36,36.6741695,-117.5545183,3.111605,,12/20/2013,19:38:47,36.6758404,-117.5554407,2.56204
12/4/13,19:06:43,36.6734451,-117.552977,5.009181,,12/4/13,19:06:37,36.6741701,-117.5545179,3.231761,,12/20/2013,19:38:48,36.6758408,-117.5554405,2.592316
12/4/13,19:06:44,36.6734458,-117.5529767,4.937401,,12/4/13,19:06:38,36.6741707,-117.5545174,3.337721,,12/20/2013,19:38:49,36.6758411,-117.5554402,2.626088
12/4/13,19:06:45,36.6734465,-117.5529764,4.860612,,12/4/13,19:06:39,36.6741713,-117.554517,3.436708,,12/20/2013,19:38:50,36.6758415,-117.5554399,2.629723
12/4/13,19:06:46,36.6734472,-117.5529761,4.809277,,12/4/13,19:06:40,36.6741719,-117.5545166,3.521737,,12/20/2013,19:38:51,36.6758418,-117.5554397,2.620924
12/4/13,19:06:47,36.6734479,-117.5529757,4.768394,,12/4/13,19:06:41,36.6741725,-117.5545162,3.606882,,12/20/2013,19:38:52,36.6758421,-117.5554394,2.650232
12/4/13,19:06:48,36.6734486,-117.5529754,4.732504,,12/4/13,19:06:42,36.6741732,-117.5545158,3.677809,,12/20/2013,19:38:53,36.6758425,-117.5554391,2.645941
12/4/13,19:06:49,36.6734493,-117.5529751,4.702221,,12/4/13,19:06:43,36.6741738,-117.5545154,3.741977,,12/20/2013,19:38:54,36.6758428,-117.5554389,2.676419
12/4/13,19:06:50,36.67345,-117.5529748,4.697344,,12/4/13,19:06:44,36.6741745,-117.554515,3.805407,,12/20/2013,19:38:55,36.6758432,-117.5554386,2.678028
12/4/13,19:06:51,36.6734507,-117.5529744,4.656614,,12/4/13,19:06:45,36.6741751,-117.5545145,3.855267,,12/20/2013,19:38:56,36.6758436,-117.5554384,2.696569
12/4/13,19:06:52,36.6734513,-117.5529741,4.651805,,12/4/13,19:06:46,36.6741757,-117.5545141,3.919586,,12/20/2013,19:38:57,36.6758439,-117.5554381,2.7076
12/4/13,19:06:53,36.673452,-117.5529737,4.631471,,12/4/13,19:06:47,36.6741764,-117.5545137,3.961827,,12/20/2013,19:38:58,36.6758443,-117.5554379,2.719259
12/4/13,19:06:54,36.6734526,-117.5529733,4.62199,,12/4/13,19:06:48,36.674177,-117.5545132,4.0329,,12/20/2013,19:38:59,36.6758447,-117.5554377,2.745348
12/4/13,19:06:55,36.6734533,-117.552973,4.63758,,12/4/13,19:06:49,36.6741777,-117.5545127,4.082893,,12/20/2013,19:39:00,36.6758451,-117.5554375,2.751097
